date,rets,rv,bv
2013-12-16,6.705001369028127e-6,5.74071277108261e-5,2.247214401439416e-5
2013-12-17,1.2204182981094439e-5,2.0542508978060457e-5,1.3426216552505879e-5
2013-12-18,2.229007323251935e-5,0.00014243023744307497,9.973809687227646e-5
2013-12-19,9.624645759474547e-6,1.2111636831032713e-5,1.3659995701123183e-5
2013-12-20,3.196836356471804e-6,1.5159759719257607e-5,9.084113017918571e-6
2013-12-23,2.958169309338979e-6,1.1728363406192034e-5,5.8699284573346285e-6
2013-12-24,2.708004756221747e-7,1.5854609729140063e-6,1.056040013155994e-6
2013-12-26,9.779609523695808e-7,4.322466084021044e-6,2.391003535028416e-6
2013-12-27,2.7975878772634045e-6,4.3488636552243426e-6,5.55750145401862e-6
2013-12-30,1.6513274183134464e-6,3.3386855814385623e-6,3.1208881574370967e-6
2013-12-31,2.511079371957507e-6,8.685152130171357e-6,6.822062884381766e-6
2014-01-02,2.3717003918997553e-5,4.243363010455983e-5,3.0151772140156687e-5
2014-01-03,8.923955972304373e-6,1.708956947153033e-5,1.514624773036983e-5
2014-01-06,1.6042182249884756e-5,2.3213612740573862e-5,2.0484672097899662e-5
2014-01-07,3.527115055425301e-6,1.91320829235766e-5,1.2266841374031511e-5
2014-01-08,1.4848260675916488e-5,2.167707802317974e-5,2.110221416144608e-5
2014-01-09,1.036356383402974e-5,2.1170222185581073e-5,1.0157363845245636e-5
2014-01-10,9.267499558197515e-6,2.128327732998149e-5,1.2636545967815302e-5
2014-01-13,1.6742689657647488e-5,2.4983493785790815e-5,2.328860422275289e-5
2014-01-14,4.918323666364166e-6,2.2859099296473915e-5,1.9709760812313164e-5
2014-01-15,4.717391093612874e-6,1.9126231462423317e-5,1.2395619897872216e-5
2014-01-16,8.30581822493315e-6,1.4416642257845013e-5,1.2796236105692757e-5
2014-01-17,8.601599562589522e-6,1.142773590743199e-5,7.631127387436756e-6
2014-01-21,1.7925307661689462e-5,3.789634676285531e-5,2.4611629332300488e-5
2014-01-22,4.748472469540297e-6,1.0529412390487685e-5,9.067111983069442e-6
2014-01-23,4.093899487810416e-5,6.573026711869738e-5,3.382831206392277e-5
2014-01-24,7.042653362031828e-5,8.296410585020673e-5,5.260543655320804e-5
2014-01-27,3.3868315343268684e-5,7.30343534039958e-5,7.854100790332123e-5
2014-01-28,1.1866309730143046e-5,2.3419987453043453e-5,2.3430572276241712e-5
2014-01-29,7.710029265625843e-5,0.00011913113557761779,7.668618484529058e-5
2014-01-30,9.154477031170061e-6,6.846092053359292e-5,2.4972390158383588e-5
2014-01-31,9.488553849216298e-5,0.00015106079575982238,6.211242758365088e-5
2014-02-03,7.173545726805463e-5,0.00010548680849835468,9.422987228119512e-5
2014-02-04,2.4858615610075613e-5,5.7537065726088656e-5,6.248700964125958e-5
2014-02-05,4.342138343607456e-5,5.8223864466080325e-5,8.973058778806735e-5
2014-02-06,5.961844359881201e-6,3.928576416847189e-5,2.25333218633315e-5
2014-02-07,1.1356457163861245e-5,5.040129094835823e-5,3.055552410953121e-5
2014-02-10,5.366254470276371e-6,1.0345667653619324e-5,9.515219503290913e-6
2014-02-11,3.701032299469813e-6,1.8008929925037084e-5,1.519442062034626e-5
2014-02-12,1.1124641420817583e-5,1.9448880382222087e-5,2.2365253618045717e-5
2014-02-13,1.1466361440693586e-5,2.136664845201023e-5,1.3493971260414691e-5
2014-02-14,5.846839668580977e-6,1.0344714091142716e-5,1.6336569937403483e-5
2014-02-18,6.974197161346182e-6,1.2317965247818358e-5,1.3239027079945885e-5
2014-02-19,1.7236316235929867e-5,3.3312231886419214e-5,2.4019918368831043e-5
2014-02-20,8.56461788362708e-6,2.4201705832064604e-5,2.26913601970988e-5
2014-02-21,9.376859809526836e-6,1.7699104615153144e-5,1.5424693895747627e-5
2014-02-24,9.952716990277107e-6,4.118614141235939e-5,2.151710798766322e-5
2014-02-25,1.5971590610450408e-5,2.691194248129906e-5,2.6225525258799265e-5
2014-02-26,1.6904135117124564e-5,2.91301701299684e-5,2.2521438973919795e-5
2014-02-27,1.3365760097392405e-5,2.213042582943631e-5,2.3243826658949536e-5
2014-02-28,1.9424572527956924e-5,3.874951894962713e-5,3.611357514243325e-5
2014-03-03,5.960348571102739e-5,5.762554066755114e-5,5.6132893316638934e-5
2014-03-04,7.769273495773627e-6,9.597525009262397e-5,2.3622597335438672e-5
